"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.ziksana.alert.exception","src/main/java/com/ziksana/alert/exception/AlertException.java","3","16","Parameter 'error' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"2","com.ziksana.alert.exception","src/main/java/com/ziksana/alert/exception/AlertException.java","3","16","Parameter 'errorCode' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"3","com.ziksana.alert.exception","src/main/java/com/ziksana/alert/exception/AlertException.java","3","20","Parameter 'errorCode' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"4","com.ziksana.alert.exception","src/main/java/com/ziksana/alert/exception/AlertNotFoundException.java","3","22","Avoid variables with short names like t","Naming Rules","ShortVariable"
"5","com.ziksana.alert.exception","src/main/java/com/ziksana/alert/exception/AlertNotFoundException.java","3","22","Parameter 't' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"6","com.ziksana.controller.alert","src/main/java/com/ziksana/controller/alert/AlertController.java","1","21","Variables that are final and static should be in all caps.","Naming Rules","VariableNamingConventions"
"7","com.ziksana.controller.alert","src/main/java/com/ziksana/controller/alert/AlertController.java","3","25","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"8","com.ziksana.controller.alert","src/main/java/com/ziksana/controller/alert/AlertController.java","3","34","Avoid variables with short names like mv","Naming Rules","ShortVariable"
"9","com.ziksana.controller.alert","src/main/java/com/ziksana/controller/alert/AlertController.java","3","34","Local variable 'mv' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"10","com.ziksana.controller.alert","src/main/java/com/ziksana/controller/alert/AlertController.java","5","48","Found 'DD'-anomaly for variable 'alertSize' (lines '48'-'51').","Controversial Rules","DataflowAnomalyAnalysis"
"11","com.ziksana.controller.alert","src/main/java/com/ziksana/controller/alert/AlertController.java","3","66","Parameter 'alertItemId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
