"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.ziksana.controller.announcements","src/main/java/com/ziksana/controller/announcements/AnnouncementsController.java","1","29","Variables that are final and static should be in all caps.","Naming Rules","VariableNamingConventions"
"2","com.ziksana.controller.announcements","src/main/java/com/ziksana/controller/announcements/AnnouncementsController.java","3","33","Avoid excessively long variable names like announcementService","Naming Rules","LongVariable"
"3","com.ziksana.controller.announcements","src/main/java/com/ziksana/controller/announcements/AnnouncementsController.java","3","33","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"4","com.ziksana.controller.announcements","src/main/java/com/ziksana/controller/announcements/AnnouncementsController.java","3","42","Local variable 'mav' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"5","com.ziksana.controller.announcements","src/main/java/com/ziksana/controller/announcements/AnnouncementsController.java","3","42","The String literal 'xml/announcements' appears 6 times in this file; the first occurrence is on line 42","String and StringBuffer Rules","AvoidDuplicateLiterals"
"6","com.ziksana.controller.announcements","src/main/java/com/ziksana/controller/announcements/AnnouncementsController.java","5","43","Found 'DD'-anomaly for variable 'announcementList' (lines '43'-'45').","Controversial Rules","DataflowAnomalyAnalysis"
"7","com.ziksana.controller.announcements","src/main/java/com/ziksana/controller/announcements/AnnouncementsController.java","3","46","Local variable 'announcementSize' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"8","com.ziksana.controller.announcements","src/main/java/com/ziksana/controller/announcements/AnnouncementsController.java","3","47","The String literal 'announcementSize' appears 6 times in this file; the first occurrence is on line 47","String and StringBuffer Rules","AvoidDuplicateLiterals"
"9","com.ziksana.controller.announcements","src/main/java/com/ziksana/controller/announcements/AnnouncementsController.java","3","48","The String literal 'announcements' appears 7 times in this file; the first occurrence is on line 48","String and StringBuffer Rules","AvoidDuplicateLiterals"
"10","com.ziksana.controller.announcements","src/main/java/com/ziksana/controller/announcements/AnnouncementsController.java","3","51","The String literal 'errorResponse' appears 6 times in this file; the first occurrence is on line 51","String and StringBuffer Rules","AvoidDuplicateLiterals"
"11","com.ziksana.controller.announcements","src/main/java/com/ziksana/controller/announcements/AnnouncementsController.java","3","59","Parameter 'anouncementId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"12","com.ziksana.controller.announcements","src/main/java/com/ziksana/controller/announcements/AnnouncementsController.java","3","61","Local variable 'mav' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
