"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.ziksana.exception.assignment","src/main/java/com/ziksana/exception/assignment/AssignmentException.java","3","18","Avoid unused constructor parameters such as 'args'.","Unused Code Rules","UnusedFormalParameter"
"2","com.ziksana.exception.assignment","src/main/java/com/ziksana/exception/assignment/AssignmentException.java","3","18","Avoid unused constructor parameters such as 'errorCode'.","Unused Code Rules","UnusedFormalParameter"
"3","com.ziksana.exception.assignment","src/main/java/com/ziksana/exception/assignment/AssignmentException.java","3","18","Avoid unused constructor parameters such as 't'.","Unused Code Rules","UnusedFormalParameter"
"4","com.ziksana.exception.assignment","src/main/java/com/ziksana/exception/assignment/AssignmentException.java","3","18","Avoid variables with short names like t","Naming Rules","ShortVariable"
"5","com.ziksana.exception.assignment","src/main/java/com/ziksana/exception/assignment/AssignmentException.java","3","18","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"6","com.ziksana.exception.assignment","src/main/java/com/ziksana/exception/assignment/AssignmentException.java","3","18","Parameter 'errorCode' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"7","com.ziksana.exception.assignment","src/main/java/com/ziksana/exception/assignment/AssignmentException.java","3","18","Parameter 't' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"8","com.ziksana.model.assignment","src/main/java/com/ziksana/model/assignment/Assignment.java","3","5","Avoid variables with short names like id","Naming Rules","ShortVariable"
"9","com.ziksana.model.assignment","src/main/java/com/ziksana/model/assignment/Assignment.java","3","8","Avoid excessively long variable names like learningComponentId","Naming Rules","LongVariable"
"10","com.ziksana.model.assignment","src/main/java/com/ziksana/model/assignment/Assignment.java","3","9","Avoid excessively long variable names like creatingMemberRoleId","Naming Rules","LongVariable"
"11","com.ziksana.model.assignment","src/main/java/com/ziksana/model/assignment/Assignment.java","3","17","Avoid variables with short names like id","Naming Rules","ShortVariable"
"12","com.ziksana.model.assignment","src/main/java/com/ziksana/model/assignment/Assignment.java","3","17","Parameter 'id' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"13","com.ziksana.model.assignment","src/main/java/com/ziksana/model/assignment/Assignment.java","3","23","Parameter 'name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"14","com.ziksana.model.assignment","src/main/java/com/ziksana/model/assignment/Assignment.java","3","29","Parameter 'content' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"15","com.ziksana.model.assignment","src/main/java/com/ziksana/model/assignment/Assignment.java","3","35","Avoid excessively long variable names like learningComponentId","Naming Rules","LongVariable"
"16","com.ziksana.model.assignment","src/main/java/com/ziksana/model/assignment/Assignment.java","3","35","Parameter 'learningComponentId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"17","com.ziksana.model.assignment","src/main/java/com/ziksana/model/assignment/Assignment.java","3","41","Avoid excessively long variable names like creatingMemberRoleId","Naming Rules","LongVariable"
"18","com.ziksana.model.assignment","src/main/java/com/ziksana/model/assignment/Assignment.java","3","41","Parameter 'creatingMemberRoleId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"19","com.ziksana.persistence.assessment","src/main/java/com/ziksana/persistence/assessment/AssignmentTestMapper.java","3","21","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"20","com.ziksana.persistence.assessment","src/main/java/com/ziksana/persistence/assessment/AssignmentTestMapper.java","3","92","The String literal 'name' appears 6 times in this file; the first occurrence is on line 92","String and StringBuffer Rules","AvoidDuplicateLiterals"
"21","com.ziksana.persistence.assessment","src/main/java/com/ziksana/persistence/assessment/AssignmentTestMapper.java","3","94","The String literal 'status' appears 4 times in this file; the first occurrence is on line 94","String and StringBuffer Rules","AvoidDuplicateLiterals"
"22","com.ziksana.persistence.assessment","src/main/java/com/ziksana/persistence/assessment/AssignmentTestMapper.java","3","139","The String literal 'assignmenttestid' appears 6 times in this file; the first occurrence is on line 139","String and StringBuffer Rules","AvoidDuplicateLiterals"
"23","com.ziksana.persistence.assessment","src/main/java/com/ziksana/persistence/assessment/AssignmentTestMapper.java","3","164","The String literal 'testsubmissionid' appears 4 times in this file; the first occurrence is on line 164","String and StringBuffer Rules","AvoidDuplicateLiterals"
"24","com.ziksana.persistence.assessment","src/main/java/com/ziksana/persistence/assessment/AssignmentTestMapper.java","3","165","The String literal 'submitteddate' appears 4 times in this file; the first occurrence is on line 165","String and StringBuffer Rules","AvoidDuplicateLiterals"
"25","com.ziksana.persistence.assessment","src/main/java/com/ziksana/persistence/assessment/TestQuestionMapper.java","3","20","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"26","com.ziksana.persistence.assessment","src/main/java/com/ziksana/persistence/assessment/TestQuestionMapper.java","3","59","The String literal 'questionBankId' appears 5 times in this file; the first occurrence is on line 59","String and StringBuffer Rules","AvoidDuplicateLiterals"
"27","com.ziksana.persistence.assessment","src/main/java/com/ziksana/persistence/assessment/TestQuestionMapper.java","3","59","The String literal 'questionbankid' appears 6 times in this file; the first occurrence is on line 59","String and StringBuffer Rules","AvoidDuplicateLiterals"
"28","com.ziksana.persistence.assessment","src/main/java/com/ziksana/persistence/assessment/VisualSpotMapper.java","4","3","Avoid unused imports such as 'com.ziksana.domain.assessment.VisualSpot'","Type Resolution Rules","UnusedImports"
"29","com.ziksana.persistence.assessment","src/main/java/com/ziksana/persistence/assessment/VisualSpotMapper.java","4","3","Avoid unused imports such as 'com.ziksana.domain.assessment.VisualSpot'","Type Resolution Rules","UnusedImports"
"30","com.ziksana.persistence.assessment","src/main/java/com/ziksana/persistence/assessment/VisualSpotMapper.java","4","4","Avoid unused imports such as 'org.apache.ibatis.annotations.Delete'","Type Resolution Rules","UnusedImports"
"31","com.ziksana.persistence.assessment","src/main/java/com/ziksana/persistence/assessment/VisualSpotMapper.java","4","4","Avoid unused imports such as 'org.apache.ibatis.annotations.Delete'","Type Resolution Rules","UnusedImports"
"32","com.ziksana.persistence.assessment","src/main/java/com/ziksana/persistence/assessment/VisualSpotMapper.java","4","5","Avoid unused imports such as 'org.apache.ibatis.annotations.Insert'","Type Resolution Rules","UnusedImports"
"33","com.ziksana.persistence.assessment","src/main/java/com/ziksana/persistence/assessment/VisualSpotMapper.java","4","5","Avoid unused imports such as 'org.apache.ibatis.annotations.Insert'","Type Resolution Rules","UnusedImports"
"34","com.ziksana.persistence.assessment","src/main/java/com/ziksana/persistence/assessment/VisualSpotMapper.java","4","6","Avoid unused imports such as 'org.apache.ibatis.annotations.ResultMap'","Type Resolution Rules","UnusedImports"
"35","com.ziksana.persistence.assessment","src/main/java/com/ziksana/persistence/assessment/VisualSpotMapper.java","4","6","Avoid unused imports such as 'org.apache.ibatis.annotations.ResultMap'","Type Resolution Rules","UnusedImports"
"36","com.ziksana.persistence.assessment","src/main/java/com/ziksana/persistence/assessment/VisualSpotMapper.java","4","7","Avoid unused imports such as 'org.apache.ibatis.annotations.Select'","Type Resolution Rules","UnusedImports"
"37","com.ziksana.persistence.assessment","src/main/java/com/ziksana/persistence/assessment/VisualSpotMapper.java","4","7","Avoid unused imports such as 'org.apache.ibatis.annotations.Select'","Type Resolution Rules","UnusedImports"
"38","com.ziksana.persistence.assessment.engagement","src/main/java/com/ziksana/persistence/assessment/engagement/EngagementMapper.java","3","26","The String literal 'engagementid' appears 4 times in this file; the first occurrence is on line 26","String and StringBuffer Rules","AvoidDuplicateLiterals"
"39","com.ziksana.persistence.assessment.engagement","src/main/java/com/ziksana/persistence/assessment/engagement/EngagementMapper.java","3","27","The String literal 'engagementcriteriaid' appears 5 times in this file; the first occurrence is on line 27","String and StringBuffer Rules","AvoidDuplicateLiterals"
"40","com.ziksana.persistence.assessment.engagement","src/main/java/com/ziksana/persistence/assessment/engagement/EngagementMapper.java","3","41","Avoid excessively long variable names like engagementCriteriaId","Naming Rules","LongVariable"
"41","com.ziksana.persistence.assessment.engagement","src/main/java/com/ziksana/persistence/assessment/engagement/EngagementMapper.java","3","82","Avoid excessively long variable names like engagementCriteriaId","Naming Rules","LongVariable"
