"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.ziksana.controller.blogs","src/main/java/com/ziksana/controller/blogs/BlogController.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"2","com.ziksana.controller.blogs","src/main/java/com/ziksana/controller/blogs/BlogController.java","3","23","Local variable 'mview' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"3","com.ziksana.persistence.blogs","src/main/java/com/ziksana/persistence/blogs/BlogMapper.java","3","11","Avoid excessively long variable names like postingMemberRoleId","Naming Rules","LongVariable"
"4","com.ziksana.service.blogs","src/main/java/com/ziksana/service/blogs/BlogService.java","3","16","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"5","com.ziksana.service.blogs.impl","src/main/java/com/ziksana/service/blogs/impl/BlogServiceImpl.java","3","30","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"6","com.ziksana.service.blogs.impl","src/main/java/com/ziksana/service/blogs/impl/BlogServiceImpl.java","5","38","Found 'DD'-anomaly for variable 'blogList' (lines '38'-'44').","Controversial Rules","DataflowAnomalyAnalysis"
"7","com.ziksana.service.blogs.impl","src/main/java/com/ziksana/service/blogs/impl/BlogServiceImpl.java","3","40","Avoid excessively long variable names like postingMemberRoleId","Naming Rules","LongVariable"
"8","com.ziksana.service.blogs.impl","src/main/java/com/ziksana/service/blogs/impl/BlogServiceImpl.java","3","40","Local variable 'postingMemberRoleId' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"9","com.ziksana.service.blogs.impl","src/main/java/com/ziksana/service/blogs/impl/BlogServiceImpl.java","3","41","Local variable 'offset' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"10","com.ziksana.service.blogs.impl","src/main/java/com/ziksana/service/blogs/impl/BlogServiceImpl.java","3","42","Local variable 'limit' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"11","com.ziksana.service.blogs.impl","src/main/java/com/ziksana/service/blogs/impl/BlogServiceImpl.java","3","43","Local variable 'rowBounds' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"12","com.ziksana.service.blogs.impl","src/test/java/com/ziksana/service/blogs/impl/BlogServiceImplTest.java","4","3","Avoid unused imports such as 'org.junit.Assert'","Type Resolution Rules","UnusedImports"
"13","com.ziksana.service.blogs.impl","src/test/java/com/ziksana/service/blogs/impl/BlogServiceImplTest.java","4","19","Avoid unused imports such as 'com.ziksana.domain.alerts.Alert'","Type Resolution Rules","UnusedImports"
"14","com.ziksana.service.blogs.impl","src/test/java/com/ziksana/service/blogs/impl/BlogServiceImplTest.java","4","19","Avoid unused imports such as 'com.ziksana.domain.alerts.Alert'","Type Resolution Rules","UnusedImports"
"15","com.ziksana.service.blogs.impl","src/test/java/com/ziksana/service/blogs/impl/BlogServiceImplTest.java","3","35","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"16","com.ziksana.service.blogs.impl","src/test/java/com/ziksana/service/blogs/impl/BlogServiceImplTest.java","3","40","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"17","com.ziksana.service.blogs.impl","src/test/java/com/ziksana/service/blogs/impl/BlogServiceImplTest.java","3","40","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"18","com.ziksana.service.blogs.impl","src/test/java/com/ziksana/service/blogs/impl/BlogServiceImplTest.java","3","40","Document empty method","Design Rules","UncommentedEmptyMethod"
"19","com.ziksana.service.blogs.impl","src/test/java/com/ziksana/service/blogs/impl/BlogServiceImplTest.java","3","44","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"20","com.ziksana.service.blogs.impl","src/test/java/com/ziksana/service/blogs/impl/BlogServiceImplTest.java","3","44","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"21","com.ziksana.service.blogs.impl","src/test/java/com/ziksana/service/blogs/impl/BlogServiceImplTest.java","3","44","Document empty method","Design Rules","UncommentedEmptyMethod"
"22","com.ziksana.service.blogs.impl","src/test/java/com/ziksana/service/blogs/impl/BlogServiceImplTest.java","3","48","Document empty method","Design Rules","UncommentedEmptyMethod"
"23","com.ziksana.service.blogs.impl","src/test/java/com/ziksana/service/blogs/impl/BlogServiceImplTest.java","3","52","Document empty method","Design Rules","UncommentedEmptyMethod"
"24","com.ziksana.service.blogs.impl","src/test/java/com/ziksana/service/blogs/impl/BlogServiceImplTest.java","3","58","Local variable 'memberId' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"25","com.ziksana.service.blogs.impl","src/test/java/com/ziksana/service/blogs/impl/BlogServiceImplTest.java","3","59","Local variable 'memberPersonaId' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"26","com.ziksana.service.blogs.impl","src/test/java/com/ziksana/service/blogs/impl/BlogServiceImplTest.java","3","62","Local variable 'token' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"27","com.ziksana.service.blogs.impl","src/test/java/com/ziksana/service/blogs/impl/BlogServiceImplTest.java","3","66","Local variable 'blogs' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"28","com.ziksana.service.blogs.impl","src/test/java/com/ziksana/service/blogs/impl/BlogServiceImplTest.java","3","68","Local variable 'blogPost' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
