"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.ziksana.controller.course","src/main/java/com/ziksana/controller/course/AddNewInfoController.java","3","29","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"2","com.ziksana.controller.course","src/main/java/com/ziksana/controller/course/AddNewInfoController.java","3","30","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"3","com.ziksana.controller.course","src/main/java/com/ziksana/controller/course/AddNewInfoController.java","3","36","The String literal 'Entering Class ' appears 4 times in this file; the first occurrence is on line 36","String and StringBuffer Rules","AvoidDuplicateLiterals"
"4","com.ziksana.controller.course","src/main/java/com/ziksana/controller/course/AddNewInfoController.java","3","37","Avoid variables with short names like mv","Naming Rules","ShortVariable"
"5","com.ziksana.controller.course","src/main/java/com/ziksana/controller/course/AddNewInfoController.java","3","37","Local variable 'mv' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"6","com.ziksana.controller.course","src/main/java/com/ziksana/controller/course/AddNewInfoController.java","3","38","The String literal 'Exiting Class ' appears 4 times in this file; the first occurrence is on line 38","String and StringBuffer Rules","AvoidDuplicateLiterals"
"7","com.ziksana.controller.course","src/main/java/com/ziksana/controller/course/AddNewInfoController.java","3","47","Parameter 'new_Info' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"8","com.ziksana.controller.course","src/main/java/com/ziksana/controller/course/AddNewInfoController.java","3","48","Parameter 'info_Description' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"9","com.ziksana.controller.course","src/main/java/com/ziksana/controller/course/AddNewInfoController.java","3","49","Avoid excessively long variable names like info_Descriptiondate","Naming Rules","LongVariable"
"10","com.ziksana.controller.course","src/main/java/com/ziksana/controller/course/AddNewInfoController.java","3","49","Parameter 'info_Descriptiondate' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"11","com.ziksana.controller.course","src/main/java/com/ziksana/controller/course/AddNewInfoController.java","3","50","Avoid excessively long variable names like info_Descriptiontext","Naming Rules","LongVariable"
"12","com.ziksana.controller.course","src/main/java/com/ziksana/controller/course/AddNewInfoController.java","3","50","Parameter 'info_Descriptiontext' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"13","com.ziksana.controller.course","src/main/java/com/ziksana/controller/course/AddNewInfoController.java","3","51","Avoid variables with short names like mv","Naming Rules","ShortVariable"
"14","com.ziksana.controller.course","src/main/java/com/ziksana/controller/course/AddNewInfoController.java","3","51","Local variable 'mv' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"15","com.ziksana.controller.course","src/main/java/com/ziksana/controller/course/AddNewInfoController.java","3","53","Avoid excessively long variable names like courseAdditionalProperty","Naming Rules","LongVariable"
"16","com.ziksana.controller.course","src/main/java/com/ziksana/controller/course/AddNewInfoController.java","3","53","Local variable 'courseAdditionalProperty' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"17","com.ziksana.controller.course","src/main/java/com/ziksana/controller/course/AddNewInfoController.java","3","72","Parameter 'new_Info' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"18","com.ziksana.controller.course","src/main/java/com/ziksana/controller/course/AddNewInfoController.java","3","74","Avoid excessively long variable names like info_Descriptiondate","Naming Rules","LongVariable"
"19","com.ziksana.controller.course","src/main/java/com/ziksana/controller/course/AddNewInfoController.java","3","75","Avoid excessively long variable names like info_Descriptiontext","Naming Rules","LongVariable"
"20","com.ziksana.controller.course","src/main/java/com/ziksana/controller/course/AddNewInfoController.java","3","77","Avoid variables with short names like mv","Naming Rules","ShortVariable"
"21","com.ziksana.controller.course","src/main/java/com/ziksana/controller/course/AddNewInfoController.java","3","77","Local variable 'mv' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"22","com.ziksana.controller.course","src/main/java/com/ziksana/controller/course/AddNewInfoController.java","3","78","Local variable 'courseAdditionalProperty' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
