"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.ziksana.domain.alerts","src/main/java/com/ziksana/domain/alerts/Alert.java","3","18","Avoid variables with short names like id","Naming Rules","ShortVariable"
"2","com.ziksana.domain.alerts","src/main/java/com/ziksana/domain/alerts/Alert.java","3","52","Parameter 'alertValue' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"3","com.ziksana.domain.alerts","src/main/java/com/ziksana/domain/alerts/Alert.java","3","78","Avoid variables with short names like id","Naming Rules","ShortVariable"
"4","com.ziksana.domain.alerts","src/main/java/com/ziksana/domain/alerts/Alert.java","3","78","Parameter 'id' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"5","com.ziksana.domain.alerts","src/main/java/com/ziksana/domain/alerts/Alert.java","3","104","Parameter 'description' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"6","com.ziksana.domain.alerts","src/main/java/com/ziksana/domain/alerts/Alert.java","3","130","Parameter 'creationDate' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"7","com.ziksana.domain.alerts","src/main/java/com/ziksana/domain/alerts/Alert.java","3","156","Parameter 'status' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"8","com.ziksana.domain.alerts","src/main/java/com/ziksana/domain/alerts/Alert.java","3","274","Avoid variables with short names like o","Naming Rules","ShortVariable"
"9","com.ziksana.domain.announcements","src/main/java/com/ziksana/domain/announcements/Announcement.java","3","23","Avoid excessively long variable names like curriculumCourseId","Naming Rules","LongVariable"
"10","com.ziksana.domain.announcements","src/main/java/com/ziksana/domain/announcements/Announcement.java","3","26","Avoid excessively long variable names like courseLearningComponentId","Naming Rules","LongVariable"
"11","com.ziksana.domain.announcements","src/main/java/com/ziksana/domain/announcements/Announcement.java","3","36","Parameter 'announcementId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"12","com.ziksana.domain.announcements","src/main/java/com/ziksana/domain/announcements/Announcement.java","3","48","Parameter 'announcementDate' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"13","com.ziksana.domain.announcements","src/main/java/com/ziksana/domain/announcements/Announcement.java","3","60","Parameter 'message' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"14","com.ziksana.domain.announcements","src/main/java/com/ziksana/domain/announcements/Announcement.java","3","72","Parameter 'messageVisibility' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"15","com.ziksana.domain.announcements","src/main/java/com/ziksana/domain/announcements/Announcement.java","3","84","Parameter 'validUntil' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"16","com.ziksana.domain.announcements","src/main/java/com/ziksana/domain/announcements/Announcement.java","3","132","Avoid excessively long variable names like curriculumCourseId","Naming Rules","LongVariable"
"17","com.ziksana.domain.announcements","src/main/java/com/ziksana/domain/announcements/Announcement.java","3","168","Avoid excessively long variable names like courseLearningComponentId","Naming Rules","LongVariable"
"18","com.ziksana.domain.assessment","src/main/java/com/ziksana/domain/assessment/AnswerSequence.java","3","16","Avoid variables with short names like id","Naming Rules","ShortVariable"
"19","com.ziksana.domain.assessment","src/main/java/com/ziksana/domain/assessment/AnswerSequence.java","3","20","Avoid variables with short names like id","Naming Rules","ShortVariable"
"20","com.ziksana.domain.assessment","src/main/java/com/ziksana/domain/assessment/AnswerSequence.java","3","20","Parameter 'id' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"21","com.ziksana.domain.assessment","src/main/java/com/ziksana/domain/assessment/AnswerSequence.java","3","20","Parameter 'name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"22","com.ziksana.domain.assessment","src/main/java/com/ziksana/domain/assessment/AnswerSequence.java","3","33","Avoid variables with short names like ID","Naming Rules","ShortVariable"
"23","com.ziksana.domain.assessment","src/main/java/com/ziksana/domain/assessment/AnswerSequence.java","3","33","Parameter 'ID' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"24","com.ziksana.domain.assessment","src/main/java/com/ziksana/domain/assessment/Assignment.java","3","18","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"25","com.ziksana.domain.assessment","src/main/java/com/ziksana/domain/assessment/Assignment.java","3","18","Parameter 'assignmentContent' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"26","com.ziksana.domain.assessment","src/main/java/com/ziksana/domain/assessment/Assignment.java","3","18","Parameter 'name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"27","com.ziksana.domain.assessment","src/main/java/com/ziksana/domain/assessment/Assignment.java","3","23","Document empty constructor","Design Rules","UncommentedEmptyConstructor"
