"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.ziksana.controller.knowmebetter","src/main/java/com/ziksana/controller/knowmebetter/KnowmeController.java","1","27","Variables that are final and static should be in all caps.","Naming Rules","VariableNamingConventions"
"2","com.ziksana.controller.knowmebetter","src/main/java/com/ziksana/controller/knowmebetter/KnowmeController.java","3","31","Avoid excessively long variable names like personalityService","Naming Rules","LongVariable"
"3","com.ziksana.controller.knowmebetter","src/main/java/com/ziksana/controller/knowmebetter/KnowmeController.java","3","31","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"4","com.ziksana.controller.knowmebetter","src/main/java/com/ziksana/controller/knowmebetter/KnowmeController.java","3","37","Local variable 'modelAndView' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"5","com.ziksana.controller.knowmebetter","src/main/java/com/ziksana/controller/knowmebetter/KnowmeController.java","3","53","Parameter 'questionBankId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"6","com.ziksana.controller.knowmebetter","src/main/java/com/ziksana/controller/knowmebetter/KnowmeController.java","3","55","Local variable 'modelAndView' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"7","com.ziksana.controller.knowmebetter","src/main/java/com/ziksana/controller/knowmebetter/KnowmeController.java","3","72","Local variable 'modelAndView' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"8","com.ziksana.controller.knowmebetter","src/main/java/com/ziksana/controller/knowmebetter/KnowmeController.java","3","88","Local variable 'modelAndView' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"9","com.ziksana.controller.knowmebetter","src/main/java/com/ziksana/controller/knowmebetter/KnowmeController.java","3","97","Parameter 'memberAnswer' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"10","com.ziksana.controller.knowmebetter","src/main/java/com/ziksana/controller/knowmebetter/KnowmeController.java","3","98","Parameter 'testQuestionValue' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"11","com.ziksana.controller.knowmebetter","src/main/java/com/ziksana/controller/knowmebetter/KnowmeController.java","3","99","Parameter 'testQuestionId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"12","com.ziksana.controller.knowmebetter","src/main/java/com/ziksana/controller/knowmebetter/KnowmeController.java","3","100","Avoid excessively long variable names like questionBankAnswerId","Naming Rules","LongVariable"
"13","com.ziksana.controller.knowmebetter","src/main/java/com/ziksana/controller/knowmebetter/KnowmeController.java","3","100","Parameter 'questionBankAnswerId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"14","com.ziksana.controller.knowmebetter","src/main/java/com/ziksana/controller/knowmebetter/KnowmeController.java","3","103","Local variable 'question' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"15","com.ziksana.controller.knowmebetter","src/main/java/com/ziksana/controller/knowmebetter/KnowmeController.java","3","122","Avoid excessively long variable names like memberPersonalityTestId","Naming Rules","LongVariable"
"16","com.ziksana.persistence.knowmebetter","src/main/java/com/ziksana/persistence/knowmebetter/PersonalityTestMapper.java","3","13","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"17","com.ziksana.persistence.knowmebetter","src/main/java/com/ziksana/persistence/knowmebetter/PersonalityTestMapper.java","3","15","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"18","com.ziksana.persistence.knowmebetter","src/main/java/com/ziksana/persistence/knowmebetter/PersonalityTestMapper.java","3","17","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"19","com.ziksana.persistence.knowmebetter","src/main/java/com/ziksana/persistence/knowmebetter/PersonalityTestMapper.java","3","19","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"20","com.ziksana.persistence.knowmebetter","src/main/java/com/ziksana/persistence/knowmebetter/PersonalityTestMapper.java","3","21","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"21","com.ziksana.service.knowmebetter","src/main/java/com/ziksana/service/knowmebetter/PersonalityTestService.java","3","18","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"22","com.ziksana.service.knowmebetter","src/main/java/com/ziksana/service/knowmebetter/PersonalityTestService.java","3","20","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
