"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.ziksana.controller.polls","src/main/java/com/ziksana/controller/polls/PollController.java","3","33","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"2","com.ziksana.controller.polls","src/main/java/com/ziksana/controller/polls/PollController.java","3","44","Local variable 'modelView' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"3","com.ziksana.controller.polls","src/main/java/com/ziksana/controller/polls/PollController.java","3","62","Local variable 'modelView' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"4","com.ziksana.controller.polls","src/main/java/com/ziksana/controller/polls/PollController.java","3","76","Parameter 'startDate' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"5","com.ziksana.controller.polls","src/main/java/com/ziksana/controller/polls/PollController.java","3","77","Parameter 'endDate' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"6","com.ziksana.controller.polls","src/main/java/com/ziksana/controller/polls/PollController.java","3","79","Local variable 'modelView' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"7","com.ziksana.controller.polls","src/main/java/com/ziksana/controller/polls/PollController.java","3","95","Parameter 'questionId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"8","com.ziksana.controller.polls","src/main/java/com/ziksana/controller/polls/PollController.java","3","96","Local variable 'modelView' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"9","com.ziksana.controller.polls","src/main/java/com/ziksana/controller/polls/PollController.java","3","110","Local variable 'modelView' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"10","com.ziksana.controller.polls","src/main/java/com/ziksana/controller/polls/PollController.java","3","128","Parameter 'pollId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"11","com.ziksana.controller.polls","src/main/java/com/ziksana/controller/polls/PollController.java","3","129","Parameter 'optionIndex' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"12","com.ziksana.controller.polls","src/main/java/com/ziksana/controller/polls/PollController.java","3","136","Avoid excessively long variable names like pollQuestionResponse","Naming Rules","LongVariable"
"13","com.ziksana.controller.polls","src/main/java/com/ziksana/controller/polls/PollController.java","3","152","Avoid excessively long variable names like pollQuestionResult","Naming Rules","LongVariable"
"14","com.ziksana.exception.polls","src/main/java/com/ziksana/exception/polls/PollException.java","3","4","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"15","com.ziksana.persistence.polls","src/main/java/com/ziksana/persistence/polls/PollMapper.java","4","4","Avoid unused imports such as 'java.util.List'","Type Resolution Rules","UnusedImports"
"16","com.ziksana.persistence.polls","src/main/java/com/ziksana/persistence/polls/PollMapper.java","4","4","Avoid unused imports such as 'java.util.List'","Type Resolution Rules","UnusedImports"
"17","com.ziksana.persistence.polls","src/main/java/com/ziksana/persistence/polls/PollMapper.java","4","5","Avoid unused imports such as 'org.apache.ibatis.annotations.Param'","Type Resolution Rules","UnusedImports"
"18","com.ziksana.persistence.polls","src/main/java/com/ziksana/persistence/polls/PollMapper.java","4","5","Avoid unused imports such as 'org.apache.ibatis.annotations.Param'","Type Resolution Rules","UnusedImports"
"19","com.ziksana.persistence.polls","src/main/java/com/ziksana/persistence/polls/PollQuestionEntity.java","3","20","Avoid variables with short names like ID","Naming Rules","ShortVariable"
"20","com.ziksana.persistence.polls","src/main/java/com/ziksana/persistence/polls/PollQuestionEntity.java","3","20","The field name indicates a constant but its modifiers do not","Naming Rules","SuspiciousConstantFieldName"
"21","com.ziksana.persistence.polls","src/main/java/com/ziksana/persistence/polls/PollQuestionEntity.java","1","20","Variables should start with a lowercase character","Naming Rules","VariableNamingConventions"
"22","com.ziksana.persistence.polls","src/main/java/com/ziksana/persistence/polls/PollQuestionEntity.java","3","23","Avoid excessively long variable names like creatorMemberRoleId","Naming Rules","LongVariable"
"23","com.ziksana.persistence.polls","src/main/java/com/ziksana/persistence/polls/PollQuestionEntity.java","3","60","Avoid variables with short names like ID","Naming Rules","ShortVariable"
"24","com.ziksana.persistence.polls","src/main/java/com/ziksana/persistence/polls/PollQuestionEntity.java","3","60","Parameter 'ID' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"25","com.ziksana.persistence.polls","src/main/java/com/ziksana/persistence/polls/PollQuestionEntity.java","3","70","Avoid excessively long variable names like creatorMemberRoleId","Naming Rules","LongVariable"
"26","com.ziksana.persistence.polls","src/main/java/com/ziksana/persistence/polls/PollQuestionEntity.java","3","70","Parameter 'creatorMemberRoleId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"27","com.ziksana.persistence.polls","src/main/java/com/ziksana/persistence/polls/PollQuestionEntity.java","3","80","Parameter 'pollId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"28","com.ziksana.persistence.polls","src/main/java/com/ziksana/persistence/polls/PollQuestionEntity.java","3","90","Parameter 'questionType' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"29","com.ziksana.persistence.polls","src/main/java/com/ziksana/persistence/polls/PollQuestionEntity.java","3","100","Parameter 'active' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"30","com.ziksana.persistence.polls","src/main/java/com/ziksana/persistence/polls/PollQuestionMapper.java","3","130","Avoid variables with short names like id","Naming Rules","ShortVariable"
