"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.ziksana.controller.recommendations","src/main/java/com/ziksana/controller/recommendations/RecommendationsController.java","4","27","Avoid unused imports such as 'com.ziksana.util.MessageUtil'","Type Resolution Rules","UnusedImports"
"2","com.ziksana.controller.recommendations","src/main/java/com/ziksana/controller/recommendations/RecommendationsController.java","4","27","Avoid unused imports such as 'com.ziksana.util.MessageUtil'","Type Resolution Rules","UnusedImports"
"3","com.ziksana.controller.recommendations","src/main/java/com/ziksana/controller/recommendations/RecommendationsController.java","3","41","Avoid excessively long variable names like recomendationsService","Naming Rules","LongVariable"
"4","com.ziksana.controller.recommendations","src/main/java/com/ziksana/controller/recommendations/RecommendationsController.java","3","41","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"5","com.ziksana.controller.recommendations","src/main/java/com/ziksana/controller/recommendations/RecommendationsController.java","3","44","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"6","com.ziksana.controller.recommendations","src/main/java/com/ziksana/controller/recommendations/RecommendationsController.java","3","54","Parameter 'category' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"7","com.ziksana.controller.recommendations","src/main/java/com/ziksana/controller/recommendations/RecommendationsController.java","3","56","Local variable 'modelAndView' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"8","com.ziksana.controller.recommendations","src/main/java/com/ziksana/controller/recommendations/RecommendationsController.java","3","59","Local variable 'recommendations' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"9","com.ziksana.controller.recommendations","src/main/java/com/ziksana/controller/recommendations/RecommendationsController.java","3","63","Local variable 'message' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"10","com.ziksana.controller.recommendations","src/main/java/com/ziksana/controller/recommendations/RecommendationsController.java","3","80","Local variable 'modelAndView' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"11","com.ziksana.controller.recommendations","src/main/java/com/ziksana/controller/recommendations/RecommendationsController.java","3","83","Local variable 'recommendations' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"12","com.ziksana.controller.recommendations","src/main/java/com/ziksana/controller/recommendations/RecommendationsController.java","3","115","Parameter 'recommendationId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"13","com.ziksana.controller.recommendations","src/main/java/com/ziksana/controller/recommendations/RecommendationsController.java","3","116","Parameter 'category' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"14","com.ziksana.controller.recommendations","src/main/java/com/ziksana/controller/recommendations/RecommendationsController.java","5","118","Found 'DD'-anomaly for variable 'recommend' (lines '118'-'121').","Controversial Rules","DataflowAnomalyAnalysis"
"15","com.ziksana.controller.recommendations","src/main/java/com/ziksana/controller/recommendations/RecommendationsController.java","5","119","Found 'DD'-anomaly for variable 'updatedRow' (lines '119'-'130').","Controversial Rules","DataflowAnomalyAnalysis"
"16","com.ziksana.controller.recommendations","src/main/java/com/ziksana/controller/recommendations/RecommendationsController.java","3","144","Parameter 'categoryName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"17","com.ziksana.controller.recommendations","src/main/java/com/ziksana/controller/recommendations/RecommendationsController.java","3","145","Avoid excessively long variable names like notificationContent","Naming Rules","LongVariable"
"18","com.ziksana.controller.recommendations","src/main/java/com/ziksana/controller/recommendations/RecommendationsController.java","3","145","Parameter 'notificationContent' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"19","com.ziksana.controller.recommendations","src/main/java/com/ziksana/controller/recommendations/RecommendationsController.java","5","150","Found 'DD'-anomaly for variable 'updatedRow' (lines '150'-'187').","Controversial Rules","DataflowAnomalyAnalysis"
"20","com.ziksana.controller.recommendations","src/main/java/com/ziksana/controller/recommendations/RecommendationsController.java","5","177","Found 'DD'-anomaly for variable 'recommend' (lines '177'-'178').","Controversial Rules","DataflowAnomalyAnalysis"
"21","com.ziksana.persistence.recommendations","src/main/java/com/ziksana/persistence/recommendations/RecommendationMapper.java","4","12","Avoid unused imports such as 'com.ziksana.domain.todo.Todo'","Type Resolution Rules","UnusedImports"
"22","com.ziksana.persistence.recommendations","src/main/java/com/ziksana/persistence/recommendations/RecommendationMapper.java","4","12","Avoid unused imports such as 'com.ziksana.domain.todo.Todo'","Type Resolution Rules","UnusedImports"
"23","com.ziksana.persistence.recommendations","src/main/java/com/ziksana/persistence/recommendations/RecommendationMapper.java","3","20","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"24","com.ziksana.persistence.recommendations","src/main/java/com/ziksana/persistence/recommendations/RecommendationMapper.java","3","24","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"25","com.ziksana.persistence.recommendations","src/main/java/com/ziksana/persistence/recommendations/RecommendationMapper.java","3","28","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"26","com.ziksana.persistence.recommendations","src/main/java/com/ziksana/persistence/recommendations/RecommendationMapper.java","3","31","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"27","com.ziksana.persistence.recommendations","src/main/java/com/ziksana/persistence/recommendations/RecommendationMapper.java","3","33","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"28","com.ziksana.service.recommendations","src/main/java/com/ziksana/service/recommendations/RecommendationsService.java","3","9","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"29","com.ziksana.service.recommendations","src/main/java/com/ziksana/service/recommendations/RecommendationsService.java","3","11","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"30","com.ziksana.service.recommendations","src/main/java/com/ziksana/service/recommendations/RecommendationsService.java","3","13","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"31","com.ziksana.service.recommendations","src/main/java/com/ziksana/service/recommendations/RecommendationsService.java","3","16","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"32","com.ziksana.service.recommendations","src/main/java/com/ziksana/service/recommendations/RecommendationsService.java","3","19","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"33","com.ziksana.service.recommendations.impl","src/main/java/com/ziksana/service/recommendations/impl/RecommendationsServiceImpl.java","3","28","Avoid excessively long variable names like recommendationMapper","Naming Rules","LongVariable"
"34","com.ziksana.service.recommendations.impl","src/main/java/com/ziksana/service/recommendations/impl/RecommendationsServiceImpl.java","3","28","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"35","com.ziksana.service.recommendations.impl","src/main/java/com/ziksana/service/recommendations/impl/RecommendationsServiceImpl.java","3","37","Parameter 'category' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"36","com.ziksana.service.recommendations.impl","src/main/java/com/ziksana/service/recommendations/impl/RecommendationsServiceImpl.java","5","39","Found 'DD'-anomaly for variable 'recomendationList' (lines '39'-'45').","Controversial Rules","DataflowAnomalyAnalysis"
"37","com.ziksana.service.recommendations.impl","src/main/java/com/ziksana/service/recommendations/impl/RecommendationsServiceImpl.java","3","40","The String literal 'Class :' appears 20 times in this file; the first occurrence is on line 40","String and StringBuffer Rules","AvoidDuplicateLiterals"
"38","com.ziksana.service.recommendations.impl","src/main/java/com/ziksana/service/recommendations/impl/RecommendationsServiceImpl.java","3","43","Local variable 'memberRoleId' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"39","com.ziksana.service.recommendations.impl","src/main/java/com/ziksana/service/recommendations/impl/RecommendationsServiceImpl.java","3","47","The String literal 'Recommendation Size' appears 4 times in this file; the first occurrence is on line 47","String and StringBuffer Rules","AvoidDuplicateLiterals"
"40","com.ziksana.service.recommendations.impl","src/main/java/com/ziksana/service/recommendations/impl/RecommendationsServiceImpl.java","3","58","Parameter 'recommendation' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"41","com.ziksana.service.recommendations.impl","src/main/java/com/ziksana/service/recommendations/impl/RecommendationsServiceImpl.java","3","86","Parameter 'recommendation' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"42","com.ziksana.service.recommendations.impl","src/main/java/com/ziksana/service/recommendations/impl/RecommendationsServiceImpl.java","3","114","Parameter 'recommendation' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"43","com.ziksana.service.recommendations.impl","src/main/java/com/ziksana/service/recommendations/impl/RecommendationsServiceImpl.java","3","136","Parameter 'currentState' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
