"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.ziksana.controller.security","src/main/java/com/ziksana/controller/security/HomeController.java","1","14","Variables that are final and static should be in all caps.","Naming Rules","VariableNamingConventions"
"2","com.ziksana.controller.security","src/main/java/com/ziksana/controller/security/HomeController.java","3","21","Local variable 'modelAndView' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"3","com.ziksana.controller.security","src/main/java/com/ziksana/controller/security/HomeController.java","3","31","Local variable 'modelAndView' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"4","com.ziksana.controller.security","src/main/java/com/ziksana/controller/security/LoginController.java","1","35","Variables that are final and static should be in all caps.","Naming Rules","VariableNamingConventions"
"5","com.ziksana.controller.security","src/main/java/com/ziksana/controller/security/LoginController.java","3","38","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"6","com.ziksana.controller.security","src/main/java/com/ziksana/controller/security/LoginController.java","3","39","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"7","com.ziksana.controller.security","src/main/java/com/ziksana/controller/security/LoginController.java","3","41","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"8","com.ziksana.controller.security","src/main/java/com/ziksana/controller/security/LoginController.java","3","42","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"9","com.ziksana.controller.security","src/main/java/com/ziksana/controller/security/LoginController.java","3","45","Parameter 'request' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"10","com.ziksana.controller.security","src/main/java/com/ziksana/controller/security/LoginController.java","3","46","Parameter 'response' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"11","com.ziksana.controller.security","src/main/java/com/ziksana/controller/security/LoginController.java","3","49","Local variable 'username' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"12","com.ziksana.controller.security","src/main/java/com/ziksana/controller/security/LoginController.java","3","50","Local variable 'password' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"13","com.ziksana.controller.security","src/main/java/com/ziksana/controller/security/LoginController.java","3","54","Avoid variables with short names like mv","Naming Rules","ShortVariable"
"14","com.ziksana.controller.security","src/main/java/com/ziksana/controller/security/LoginController.java","5","54","Found 'DD'-anomaly for variable 'mv' (lines '54'-'115').","Controversial Rules","DataflowAnomalyAnalysis"
"15","com.ziksana.controller.security","src/main/java/com/ziksana/controller/security/LoginController.java","5","54","Found 'DD'-anomaly for variable 'mv' (lines '54'-'125').","Controversial Rules","DataflowAnomalyAnalysis"
"16","com.ziksana.controller.security","src/main/java/com/ziksana/controller/security/LoginController.java","5","54","Found 'DD'-anomaly for variable 'mv' (lines '54'-'58').","Controversial Rules","DataflowAnomalyAnalysis"
"17","com.ziksana.controller.security","src/main/java/com/ziksana/controller/security/LoginController.java","3","59","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"18","com.ziksana.controller.security","src/main/java/com/ziksana/controller/security/LoginController.java","3","65","Local variable 'userAuthenticated' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"19","com.ziksana.controller.security","src/main/java/com/ziksana/controller/security/LoginController.java","3","74","Local variable 'member' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"20","com.ziksana.controller.security","src/main/java/com/ziksana/controller/security/LoginController.java","3","76","Local variable 'memberId' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"21","com.ziksana.controller.security","src/main/java/com/ziksana/controller/security/LoginController.java","5","84","Found 'DD'-anomaly for variable 'roleType' (lines '84'-'90').","Controversial Rules","DataflowAnomalyAnalysis"
"22","com.ziksana.controller.security","src/main/java/com/ziksana/controller/security/LoginController.java","5","84","Found 'DD'-anomaly for variable 'roleType' (lines '84'-'96').","Controversial Rules","DataflowAnomalyAnalysis"
"23","com.ziksana.controller.security","src/main/java/com/ziksana/controller/security/LoginController.java","3","127","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"24","com.ziksana.controller.security","src/main/java/com/ziksana/controller/security/LoginController.java","3","140","Avoid unused method parameters such as 'userId'.","Unused Code Rules","UnusedFormalParameter"
"25","com.ziksana.controller.security","src/main/java/com/ziksana/controller/security/LoginController.java","3","140","Parameter 'request' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
