"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.ziksana.controller.subscription","src/main/java/com/ziksana/controller/subscription/SubscriptionController.java","3","36","The class 'SubscriptionController' has a Cyclomatic Complexity of 4 (Highest = 17).","Code Size Rules","CyclomaticComplexity"
"2","com.ziksana.controller.subscription","src/main/java/com/ziksana/controller/subscription/SubscriptionController.java","3","36","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"3","com.ziksana.controller.subscription","src/main/java/com/ziksana/controller/subscription/SubscriptionController.java","3","42","Avoid excessively long variable names like subscriptionService","Naming Rules","LongVariable"
"4","com.ziksana.controller.subscription","src/main/java/com/ziksana/controller/subscription/SubscriptionController.java","3","42","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"5","com.ziksana.controller.subscription","src/main/java/com/ziksana/controller/subscription/SubscriptionController.java","3","45","Avoid excessively long variable names like subscriptionContentService","Naming Rules","LongVariable"
"6","com.ziksana.controller.subscription","src/main/java/com/ziksana/controller/subscription/SubscriptionController.java","3","45","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"7","com.ziksana.controller.subscription","src/main/java/com/ziksana/controller/subscription/SubscriptionController.java","3","48","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"8","com.ziksana.controller.subscription","src/main/java/com/ziksana/controller/subscription/SubscriptionController.java","3","50","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"9","com.ziksana.controller.subscription","src/main/java/com/ziksana/controller/subscription/SubscriptionController.java","3","50","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"10","com.ziksana.controller.subscription","src/main/java/com/ziksana/controller/subscription/SubscriptionController.java","3","55","Parameter 'courseId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"11","com.ziksana.controller.subscription","src/main/java/com/ziksana/controller/subscription/SubscriptionController.java","3","55","The String literal 'courseId' appears 13 times in this file; the first occurrence is on line 55","String and StringBuffer Rules","AvoidDuplicateLiterals"
"12","com.ziksana.controller.subscription","src/main/java/com/ziksana/controller/subscription/SubscriptionController.java","3","56","Parameter 'nodeId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"13","com.ziksana.controller.subscription","src/main/java/com/ziksana/controller/subscription/SubscriptionController.java","3","56","The String literal 'nodeId' appears 11 times in this file; the first occurrence is on line 56","String and StringBuffer Rules","AvoidDuplicateLiterals"
"14","com.ziksana.controller.subscription","src/main/java/com/ziksana/controller/subscription/SubscriptionController.java","5","58","Found 'DD'-anomaly for variable 'parsedContentId' (lines '58'-'68').","Controversial Rules","DataflowAnomalyAnalysis"
"15","com.ziksana.controller.subscription","src/main/java/com/ziksana/controller/subscription/SubscriptionController.java","5","59","Found 'DD'-anomaly for variable 'parsedComponentId' (lines '59'-'69').","Controversial Rules","DataflowAnomalyAnalysis"
"16","com.ziksana.controller.subscription","src/main/java/com/ziksana/controller/subscription/SubscriptionController.java","5","59","Found 'DD'-anomaly for variable 'parsedComponentId' (lines '59'-'72').","Controversial Rules","DataflowAnomalyAnalysis"
