"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.ziksana.controller.todo","src/main/java/com/ziksana/controller/todo/TodoController.java","1","28","Variables that are final and static should be in all caps.","Naming Rules","VariableNamingConventions"
"2","com.ziksana.controller.todo","src/main/java/com/ziksana/controller/todo/TodoController.java","3","31","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"3","com.ziksana.controller.todo","src/main/java/com/ziksana/controller/todo/TodoController.java","3","39","Local variable 'modelView' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"4","com.ziksana.controller.todo","src/main/java/com/ziksana/controller/todo/TodoController.java","3","45","The String literal ',message =' appears 6 times in this file; the first occurrence is on line 45","String and StringBuffer Rules","AvoidDuplicateLiterals"
"5","com.ziksana.controller.todo","src/main/java/com/ziksana/controller/todo/TodoController.java","3","45","The String literal 'Caught Exception. class =' appears 6 times in this file; the first occurrence is on line 45","String and StringBuffer Rules","AvoidDuplicateLiterals"
"6","com.ziksana.controller.todo","src/main/java/com/ziksana/controller/todo/TodoController.java","5","53","Found 'DD'-anomaly for variable 'todoSize' (lines '53'-'61').","Controversial Rules","DataflowAnomalyAnalysis"
"7","com.ziksana.controller.todo","src/main/java/com/ziksana/controller/todo/TodoController.java","5","54","Found 'DD'-anomaly for variable 'todoList' (lines '54'-'56').","Controversial Rules","DataflowAnomalyAnalysis"
"8","com.ziksana.controller.todo","src/main/java/com/ziksana/controller/todo/TodoController.java","3","74","Local variable 'modelView' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"9","com.ziksana.controller.todo","src/main/java/com/ziksana/controller/todo/TodoController.java","3","90","Parameter 'category' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"10","com.ziksana.controller.todo","src/main/java/com/ziksana/controller/todo/TodoController.java","3","91","Avoid excessively long variable names like notificationContent","Naming Rules","LongVariable"
"11","com.ziksana.controller.todo","src/main/java/com/ziksana/controller/todo/TodoController.java","3","91","Parameter 'notificationContent' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"12","com.ziksana.controller.todo","src/main/java/com/ziksana/controller/todo/TodoController.java","5","95","Found 'DD'-anomaly for variable 'response' (lines '95'-'112').","Controversial Rules","DataflowAnomalyAnalysis"
"13","com.ziksana.controller.todo","src/main/java/com/ziksana/controller/todo/TodoController.java","3","97","Local variable 'todo' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
