"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.ziksana.exception.subjectclassification","src/main/java/com/ziksana/exception/subjectclassification/SubjectClassificationException.java","3","16","Parameter 'code' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"2","com.ziksana.persistence.data","src/main/java/com/ziksana/persistence/data/EnumStaticDataMapper.java","3","16","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"3","com.ziksana.persistence.data","src/main/java/com/ziksana/persistence/data/StaticDataMapper.java","3","16","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"4","com.ziksana.service.data","src/main/java/com/ziksana/service/data/DataService.java","3","14","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"5","com.ziksana.service.data","src/main/java/com/ziksana/service/data/EnumDataService.java","3","12","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"6","com.ziksana.service.data.impl","src/main/java/com/ziksana/service/data/impl/DataServiceImpl.java","3","23","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"7","com.ziksana.service.data.impl","src/main/java/com/ziksana/service/data/impl/DataServiceImpl.java","3","24","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"8","com.ziksana.service.data.impl","src/main/java/com/ziksana/service/data/impl/DataServiceImpl.java","3","28","Parameter 'category' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"9","com.ziksana.service.data.impl","src/main/java/com/ziksana/service/data/impl/DataServiceImpl.java","3","30","Local variable 'list' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"10","com.ziksana.service.data.impl","src/main/java/com/ziksana/service/data/impl/DataServiceImpl.java","3","31","Local variable 'map' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"11","com.ziksana.service.data.impl","src/main/java/com/ziksana/service/data/impl/DataServiceImpl.java","3","32","Avoid using for statements without curly braces","Braces Rules","ForLoopsMustUseBraces"
"12","com.ziksana.service.data.impl","src/main/java/com/ziksana/service/data/impl/EnumDataServiceImpl.java","3","27","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"13","com.ziksana.service.data.impl","src/main/java/com/ziksana/service/data/impl/EnumDataServiceImpl.java","3","28","Avoid excessively long variable names like enumStaticDataMapper","Naming Rules","LongVariable"
"14","com.ziksana.service.data.impl","src/main/java/com/ziksana/service/data/impl/EnumDataServiceImpl.java","3","28","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"15","com.ziksana.service.data.impl","src/main/java/com/ziksana/service/data/impl/EnumDataServiceImpl.java","3","30","Parameter 'category' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"16","com.ziksana.service.data.impl","src/main/java/com/ziksana/service/data/impl/EnumDataServiceImpl.java","3","32","Local variable 'list' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"17","com.ziksana.service.data.impl","src/main/java/com/ziksana/service/data/impl/EnumDataServiceImpl.java","3","33","Local variable 'map' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
